latitude,longitude,mag,mag2,mag3,mag4,mag5,mag6,mag7,mag8,mag9,mag10,mag11,mag12
-123.09,47.535,0.00061244,0.00039375,0.00017722,-2.97E-05,-0.00022132,-0.000394,-0.00054563,-0.00067522,-0.00078277,-0.00010407,5.94E-05,0.005116
-122.77,47.179,0.0065768,0.00665,0.0066602,0.0066158,0.0065275,0.0064036,0.0062486,0.0060668,0.005865,4.55E-05,6.47E-05,0.016425
-103.32,47.151,-0.00019658,-0.00016668,-0.00013622,-0.00010642,-7.81E-05,-5.16E-05,-2.73E-05,-5.71E-06,1.31E-05,2.51E-05,0.00020933,0.0014353
-102.44,47.03,0.00026176,0.00022248,0.00018208,0.00014183,0.00010267,6.56E-05,3.17E-05,1.49E-06,-2.48E-05,0.00013938,-1.16E-05,0.0025206
-101.53,47.108,0.00011041,7.25E-05,3.49E-05,-1.10E-06,-3.48E-05,-6.56E-05,-9.33E-05,-0.00011707,-0.00013673,-3.50E-06,2.12E-05,-0.0053646
-100.57,47.193,2.47E-05,5.97E-05,9.32E-05,0.00012441,0.0001527,0.00017782,0.00019954,0.00021754,0.00023153,-0.00013745,-8.77E-05,0.0098981
-99.596,47.06,9.21E-06,0.00012874,0.00024423,0.00035216,0.00044979,0.00053541,0.00060831,0.00066844,0.00071621,0.00061244,0.00039375,-0.0096573
-98.758,47.108,3.08E-05,2.36E-05,1.61E-05,8.67E-06,1.49E-06,-5.31E-06,-1.18E-05,-1.79E-05,-2.33E-05,0.0065768,0.00665,-0.016533
-97.723,47.048,0.0001179,1.63E-05,-8.26E-05,-0.00017554,-0.00026018,-0.00033544,-0.00040092,-0.00045636,-0.00050148,-0.00019658,-0.00016668,0.0022754
-97.016,47.135,-4.93E-06,4.56E-05,9.49E-05,0.00014121,0.00018319,0.00022,0.00025157,0.00027811,0.00029962,0.00026176,0.00022248,0.0039415
-95.845,47.14,9.79E-05,0.00013448,0.00016818,0.00019779,0.00022215,0.00024067,0.00025375,0.00026228,0.00026687,0.00011041,7.25E-05,-0.0061575
-95.195,47.085,-0.00015484,-0.00018664,-0.00021591,-0.00024181,-0.00026364,-0.00028111,-0.00029437,-0.00030382,-0.00030976,2.47E-05,5.97E-05,0.0051414
-94.053,47.081,0.00042511,0.00050794,0.00058497,0.00065438,0.00071434,0.00076363,0.00080228,0.00083126,0.00085169,9.21E-06,0.00012874,-0.0054898
-93.165,47.176,0.00054475,0.00047241,0.00039864,0.00032629,0.00025731,0.00019291,0.00013401,8.15E-05,3.60E-05,3.08E-05,2.36E-05,0.0079648
-92.426,47.158,4.54E-05,0.0001688,0.00028655,0.00039478,0.00049123,0.00057527,0.00064698,0.00070624,0.00075277,0.0001179,1.63E-05,-0.010487
-122.57,46.557,0.0011426,0.0012645,0.0013738,0.0014692,0.0015488,0.0016108,0.0016544,0.0016807,0.001692,-4.93E-06,4.56E-05,0.0071623
-103.4,46.501,-1.95E-06,2.83E-05,5.75E-05,8.46E-05,0.00010904,0.00013056,0.00014911,0.00016467,0.00017715,9.79E-05,0.00013448,-0.005467
-102.46,46.471,-3.12E-05,-1.91E-05,-7.08E-06,4.11E-06,1.40E-05,2.23E-05,2.93E-05,3.52E-05,4.02E-05,-0.00015484,-0.00018664,0.0084762
-101.56,46.429,-0.00013197,-5.59E-05,1.88E-05,8.99E-05,0.00015536,0.00021409,0.00026538,0.00030898,0.00034478,0.00042511,0.00050794,0.0025751
-100.69,46.575,-4.86E-05,4.15E-05,0.00012851,0.00020978,0.00028344,0.00034825,0.00040343,0.00044859,0.00048376,0.00054475,0.00047241,-0.013635
-99.642,46.568,9.16E-05,7.10E-05,5.05E-05,3.09E-05,1.29E-05,-3.13E-06,-1.71E-05,-2.93E-05,-3.99E-05,4.54E-05,0.0001688,-0.0087027
-98.91,46.502,-2.95E-05,-1.98E-06,2.45E-05,4.91E-05,7.11E-05,9.03E-05,0.00010671,0.00012065,0.00013219,0.0011426,0.0012645,-0.00086885
-97.888,46.558,0.00031588,0.00025385,0.00019144,0.000131,7.44E-05,2.27E-05,-2.33E-05,-6.35E-05,-9.77E-05,-1.95E-06,2.83E-05,-0.0041706
-97.07,46.593,0.00020105,0.00035029,0.00049319,0.00062607,0.00074637,0.00085233,0.00094285,0.0010176,0.0010769,-3.12E-05,-1.91E-05,0.0011533
-96.005,46.504,-0.00038915,-0.00037751,-0.00036278,-0.00034594,-0.00032791,-0.00030929,-0.00029012,-0.00027029,-0.00025004,-0.00013197,-5.59E-05,0.0034202
-95.169,46.514,0.00038234,0.00035909,0.00033327,0.00030621,0.00027916,0.00025298,0.00022793,0.00020389,0.00018095,-4.86E-05,4.15E-05,0.0016209
-94.404,46.557,-0.00025446,-0.00022149,-0.00018715,-0.00015314,-0.00012091,-9.10E-05,-6.29E-05,-3.64E-05,-1.17E-05,9.16E-05,7.10E-05,0.0066086
-93.256,46.518,-0.00037906,-0.0005398,-0.00069123,-0.00082926,-0.00095112,-0.0010552,-0.0011408,-0.0012082,-0.0012581,-2.95E-05,-1.98E-06,0.0069937
-92.4,46.566,0.00033083,0.00050274,0.00066568,0.00081511,0.00094782,0.0010622,0.0011576,0.001234,0.0012915,0.00031588,0.00025385,0.00079611
-123.01,46.083,-0.00089243,-0.0010833,-0.0012584,-0.0014136,-0.0015463,-0.0016547,-0.0017386,-0.0017993,-0.0018392,0.00020105,0.00035029,0.00071499
-121.46,45.885,0.00055607,0.00071153,0.00085589,0.00098567,0.001099,0.0011948,0.0012724,0.0013315,0.0013725,-0.00038915,-0.00037751,-0.0041638
-103.46,45.926,4.63E-05,0.0001037,0.00015866,0.00020965,0.00025561,0.00029585,0.00033002,0.00035794,0.00037956,0.00038234,0.00035909,-0.022766
